,Geohash,Latitude_NW,Longitude_NW,Latitude_NE,Longitude_NE,Latitude_SE,Longitude_SE,Latitude_SW,Longitude_SW
0,9q5cgy1,34.09195,-118.31039,34.09195,-118.30902,34.09058,-118.30902,34.09058,-118.31039
1,9q5dqm1,34.17435,-118.55209,34.17435,-118.55072,34.17297,-118.55072,34.17297,-118.55209
2,9q5ch2s,33.9299,-118.2843,33.9299,-118.28293,33.92853,-118.28293,33.92853,-118.2843
3,9q5f62m,34.14825,-118.37082,34.14825,-118.36945,34.14688,-118.36945,34.14688,-118.37082
4,9q5f2hm,34.17023,-118.4697,34.17023,-118.46832,34.16885,-118.46832,34.16885,-118.4697
5,9q5fc3b,34.24438,-118.42163,34.24438,-118.42026,34.24301,-118.42026,34.24301,-118.42163
6,9q5dsvm,34.21967,-118.61252,34.21967,-118.61115,34.21829,-118.61115,34.21829,-118.61252
7,9q5buku,33.9093,-118.2843,33.9093,-118.28293,33.90793,-118.28293,33.90793,-118.2843
8,9q5bh3f,33.76099,-118.28705,33.76099,-118.28568,33.75961,-118.28568,33.75961,-118.28705
9,9q5c1u1,33.94913,-118.39828,33.94913,-118.39691,33.94775,-118.39691,33.94775,-118.39828
10,9q5cwp6,34.05487,-118.21014,34.05487,-118.20877,34.0535,-118.20877,34.0535,-118.21014
11,9q5f2p9,34.18808,-118.47519,34.18808,-118.47382,34.18671,-118.47382,34.18671,-118.47519
12,9q5bh30,33.75687,-118.28979,33.75687,-118.28842,33.75549,-118.28842,33.75549,-118.28979
13,9q5cw4h,34.02603,-118.2074,34.02603,-118.20602,34.02466,-118.20602,34.02466,-118.2074
14,9q5cw4d,34.02878,-118.21014,34.02878,-118.20877,34.0274,-118.20877,34.0274,-118.21014
15,9q5fsxc,34.2334,-118.27744,34.2334,-118.27606,34.23203,-118.27606,34.23203,-118.27744
16,9q5cf23,34.06036,-118.37631,34.06036,-118.37494,34.05899,-118.37494,34.05899,-118.37631
17,9q5csez,34.03564,-118.2692,34.03564,-118.26782,34.03427,-118.26782,34.03427,-118.2692
18,9q5ctdd,34.02878,-118.23212,34.02878,-118.23074,34.0274,-118.23074,34.0274,-118.23212
19,9q5c624,33.9711,-118.37494,33.9711,-118.37357,33.96973,-118.37357,33.96973,-118.37494
20,9q5g1n0,34.31168,-118.43262,34.31168,-118.43124,34.3103,-118.43124,34.3103,-118.43262
21,9q5bhe9,33.7706,-118.27744,33.7706,-118.27606,33.76923,-118.27606,33.76923,-118.27744
22,9q5fbp7,34.2746,-118.47244,34.2746,-118.47107,34.27322,-118.47107,34.27322,-118.47244
23,9q5fhce,34.11118,-118.2637,34.11118,-118.26233,34.1098,-118.26233,34.1098,-118.2637
24,9mgzure,33.74863,-118.28568,33.74863,-118.2843,33.74725,-118.2843,33.74725,-118.28568
25,9q5bu66,33.89557,-118.28705,33.89557,-118.28568,33.8942,-118.28568,33.8942,-118.28705
26,9q5c3se,33.99582,-118.40652,33.99582,-118.40515,33.99445,-118.40515,33.99445,-118.40652
27,9q5cbh3,34.08234,-118.47519,34.08234,-118.47382,34.08096,-118.47382,34.08096,-118.47519
28,9mgzv4v,33.72253,-118.24997,33.72253,-118.2486,33.72116,-118.2486,33.72116,-118.24997
29,9q5ctu3,34.03839,-118.2225,34.03839,-118.22113,34.03702,-118.22113,34.03702,-118.2225
30,9q5epxe,34.31992,-118.49442,34.31992,-118.49304,34.31854,-118.49304,34.31854,-118.49442
31,9q5cvr1,34.09744,-118.24448,34.09744,-118.2431,34.09607,-118.2431,34.09607,-118.24448
32,9q5cwrd,34.05624,-118.19916,34.05624,-118.19778,34.05487,-118.19778,34.05487,-118.19916
33,9q5cw43,34.0274,-118.21152,34.0274,-118.21014,34.02603,-118.21014,34.02603,-118.21152
34,9q5ct4k,34.0274,-118.25134,34.0274,-118.24997,34.02603,-118.24997,34.02603,-118.25134
35,9q5bh9b,33.76099,-118.27881,33.76099,-118.27744,33.75961,-118.27744,33.75961,-118.27881
36,9q5f73x,34.15512,-118.32413,34.15512,-118.32275,34.15375,-118.32275,34.15375,-118.32413
37,9q5cu5z,34.07959,-118.29117,34.07959,-118.28979,34.07822,-118.28979,34.07822,-118.29117
38,9q5f7fn,34.15787,-118.30353,34.15787,-118.30215,34.15649,-118.30215,34.15649,-118.30353
39,9q5bjtk,33.78021,-118.22937,33.78021,-118.228,33.77884,-118.228,33.77884,-118.22937
40,9q5fg9u,34.24438,-118.31726,34.24438,-118.31589,34.24301,-118.31589,34.24301,-118.31726
41,9q5dqt1,34.17435,-118.54111,34.17435,-118.53973,34.17297,-118.53973,34.17297,-118.54111
42,9q5bjq4,33.78433,-118.2431,33.78433,-118.24173,33.78296,-118.24173,33.78296,-118.2431
43,9q5er3j,34.32816,-118.50266,34.32816,-118.50128,34.32678,-118.50128,34.32678,-118.50266
44,9q5fhx1,34.14139,-118.27744,34.14139,-118.27606,34.14001,-118.27606,34.14001,-118.27744
45,9q5f51x,34.11118,-118.33511,34.11118,-118.33374,34.1098,-118.33374,34.1098,-118.33511
46,9q5c1v4,33.95462,-118.39691,33.95462,-118.39554,33.95325,-118.39554,33.95325,-118.39691
47,9q5fbhg,34.26086,-118.47244,34.26086,-118.47107,34.25949,-118.47107,34.25949,-118.47244
48,9q5cszr,34.05487,-118.25821,34.05487,-118.25684,34.0535,-118.25684,34.0535,-118.25821
49,9q5csgh,34.03152,-118.26233,34.03152,-118.26096,34.03015,-118.26096,34.03015,-118.26233
50,9q5bhec,33.77197,-118.27744,33.77197,-118.27606,33.7706,-118.27606,33.7706,-118.27744
51,9q5cbnb,34.09607,-118.47656,34.09607,-118.47519,34.0947,-118.47519,34.0947,-118.47656
52,9q5cvsq,34.08234,-118.22662,34.08234,-118.22525,34.08096,-118.22525,34.08096,-118.22662
53,9q5f697,34.15375,-118.36258,34.15375,-118.36121,34.15237,-118.36121,34.15237,-118.36258
54,9q5bjm9,33.78159,-118.24448,33.78159,-118.2431,33.78021,-118.2431,33.78021,-118.24448
55,9q5c44p,33.93814,-118.37906,33.93814,-118.37769,33.93677,-118.37769,33.93677,-118.37906
56,9q5ceu1,34.03702,-118.31039,34.03702,-118.30902,34.03564,-118.30902,34.03564,-118.31039
57,9q5cs93,34.02191,-118.27744,34.02191,-118.27606,34.02054,-118.27606,34.02054,-118.27744
58,9q5fq2n,34.14688,-118.19366,34.14688,-118.19229,34.14551,-118.19229,34.14551,-118.19366
59,9q5cszj,34.0535,-118.26096,34.0535,-118.25958,34.05212,-118.25958,34.05212,-118.26096
60,9q5er3e,34.3309,-118.5054,34.3309,-118.50403,34.32953,-118.50403,34.32953,-118.5054
61,9q5f81c,34.20044,-118.47519,34.20044,-118.47382,34.19907,-118.47382,34.19907,-118.47519
62,9q5c410,33.93265,-118.38867,33.93265,-118.3873,33.93127,-118.3873,33.93127,-118.38867
63,9q5bum6,33.91205,-118.28705,33.91205,-118.28568,33.91068,-118.28568,33.91068,-118.28705
64,9q5dzvz,34.26636,-118.47794,34.26636,-118.47656,34.26498,-118.47656,34.26498,-118.47794
65,9q5bs5f,33.85986,-118.29803,33.85986,-118.29666,33.85849,-118.29666,33.85849,-118.29803
66,9q5bjr7,33.7912,-118.24173,33.7912,-118.24036,33.78983,-118.24036,33.78983,-118.24173
67,9q5bjwy,33.78845,-118.22662,33.78845,-118.22525,33.78708,-118.22525,33.78708,-118.22662
68,9q5cv3u,34.0686,-118.24036,34.0686,-118.23898,34.06723,-118.23898,34.06723,-118.24036
69,9q5f0ns,34.13864,-118.47107,34.13864,-118.4697,34.13727,-118.4697,34.13727,-118.47107
70,9q5g222,34.32404,-118.46558,34.32404,-118.4642,34.32266,-118.4642,34.32266,-118.46558
71,9q5cshm,34.03839,-118.29391,34.03839,-118.29254,34.03702,-118.29254,34.03702,-118.29391
72,9q5bjtb,33.78296,-118.23486,33.78296,-118.23349,33.78159,-118.23349,33.78159,-118.23486
73,9q5bhgc,33.77197,-118.26645,33.77197,-118.26508,33.7706,-118.26508,33.7706,-118.26645
